[PngImagePlugin.py:190] - 2023-08-15 21:19:43,482 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 21:19:43,482 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-08-15 21:19:43,482 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 21:19:43,482 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 21:19:43,482 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 21:19:43,482 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 21:19:43,482 - DEBUG - STREAM b'IDAT' 91 1063
[builder.pyw:425] - 2023-08-15 21:20:30,162 - INFO - Retrieved filename: SynHunt
[builder.pyw:391] - 2023-08-15 21:20:30,162 - INFO - Changed filetype: .py
[builder.pyw:445] - 2023-08-15 21:20:30,171 - INFO - Successfully changed config
[builder.pyw:425] - 2023-08-15 21:20:40,219 - INFO - Retrieved filename: SynHunt
[builder.pyw:394] - 2023-08-15 21:20:40,219 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-15 21:20:40,219 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-15 21:20:40,220 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-15 21:21:39,517 - INFO - Successfully compiled SynHunt.exe with pyinstaller
[builder.pyw:529] - 2023-08-15 21:21:39,962 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-15 21:21:39,963 - INFO - Successfully removed file: ./SynHunt.spec
[builder.pyw:538] - 2023-08-15 21:21:39,963 - INFO - Successfully removed file: ./SynHunt.py
[builder.pyw:538] - 2023-08-15 21:21:39,964 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:425] - 2023-08-15 21:22:10,906 - INFO - Retrieved filename: SynHunt
[builder.pyw:391] - 2023-08-15 21:22:10,906 - INFO - Changed filetype: .py
[builder.pyw:445] - 2023-08-15 21:22:10,907 - INFO - Successfully changed config
[builder.pyw:553] - 2023-08-15 21:22:11,123 - INFO - Successfully obfuscated file: SynHunt.py
